编号,城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址
1268,河北,兴隆山景区,,0,20,118,河北·承德·兴隆县,"118.063504,40.758925",览兴隆山风景，品悠然慢生活,FALSE,河北省承德市兴隆县白马川（白马川高速出口右转1公里）
1269,河北,北戴河集发梦想王国,4 A,3.6,95,110,河北·秦皇岛·北戴河区,"119.424705,39.826558",cctv少儿频道推荐，亲子必游景点,FALSE,河北省秦皇岛市北戴河海北路中段
1270,河北,北戴河,,5,24.8,110,河北·秦皇岛·北戴河区,"119.491161,39.840984",北方的三亚,FALSE,河北省秦皇岛北戴河区北戴河
1271,河北,天元谷度假区,,0,142,108,河北·唐山·迁安市,"118.700195,39.975157",天元谷度假区，位于迁安市的西南，美丽的滦河之畔，占地约437亩，总建筑面积15万平方米，总投资15亿元，处于京津秦黄金旅,FALSE,河北省唐山市迁安市滨湖东路
1272,河北,娲皇宫,5 A,5,50,106,河北·邯郸·涉县,"113.629833,36.649967",女娲氏"炼石补天，抟土造人"的地方,FALSE,河北省邯郸市涉县索堡镇
1273,河北,吴桥杂技大世界,4 A,5,160,106,河北·沧州·吴桥县,"116.392857,37.647157",世界杂技看中国，中国杂技在吴桥,FALSE,河北省沧州市吴桥县京福路1号
1274,河北,唐山迁西县凤凰山旅游区,,0,18.9,106,河北·唐山·迁西县,"118.430223,40.079224","迁西县凤凰山旅游区位于迁西县东南部新集镇境内，以山体形状如展翅欲飞的凤凰而得名,地理位置优越,交通便利。旅游区总面积18",FALSE,迁西县东南部新集镇境内
1275,河北,曲阳虎山风景区,4 A,0,37,98,河北·保定·曲阳县,"114.570326,38.937032",观威武虎山之景，走淘金黄金大道,FALSE,河北省保定市曲阳县范家庄乡虎山村
1276,河北,石家庄抱犊寨,4 A,4.4,40,90,河北·石家庄·鹿泉市,"114.347321,38.084703",“天下奇寨”、“抱犊福地”恍如世外桃源,FALSE,河北省石家庄市西16公里处的鹿泉市获鹿县城西
1277,河北,黄金寨原生态旅游区,,0,49.9,90,河北·石家庄·平山县,"114.07089,38.441871",春赏春花，夏食夏草，秋尝秋实,FALSE,河北省石家庄市近郊平山县王坡乡曹土沟村土沟路16号
1278,河北,狼牙山,4 A,4,78,88,河北·保定·易县,"115.18275,39.149357",“狼牙山五壮士“英雄山，著名爱国教育基地,FALSE,河北省保定市易县狼牙山镇东西水村
1279,河北,正定隆兴寺（大佛寺）,4 A,5,44.5,78,河北·石家庄·正定县,"114.588945,38.148799",全国重点文物保护单位,FALSE,河北省石家庄市正定县中山东路109号
1280,河北,满城汉墓,4 A,3.9,8,78,河北·保定·满城县,"115.307398,38.955251",西汉中山靖王之墓，100项考古发现之一,FALSE,河北省保定市满城县中山西路
1281,河北,天下第一关（山海关）,,3.7,15,78,河北·秦皇岛·山海关区,"119.768109,40.012102",万里长城的起点，名副其实的壮观,FALSE,河北省秦皇岛市山海关区东头条胡同
1282,河北,京娘湖,4 A,4.6,55,78,河北·邯郸·武安市,"113.960493,36.894683",赵匡胤千里送京娘，山清水秀川谷深幽,FALSE,河北省邯郸武安市京娘湖
1283,河北,野三坡,5 A,5,65,74,河北·保定·涞水县,"115.391843,39.674643",北方的小桂林,FALSE,河北省保定市涞水县三坡镇
1284,河北,邯郸佛山野生动物园,,0,52,72,河北·邯郸,"114.375143,36.73142",我们既有可爱萌宠，也有凶猛“野兽”,FALSE,河北省邯郸市永年区永和会镇
1285,河北,岐山湖景区,4 A,0,25,72,河北·邢台·临城县,"114.444084,37.467255",会议度假、游乐野钓、戏水的综合性游乐场所,FALSE,河北省邢台市临城县
1286,河北,云梦山,,4,39.9,70,河北·邢台·邢台县,"113.935471,37.333721",山雄、水秀、谷幽、洞奇,FALSE,河北省邢台市邢台县冀家村乡石板房村北
1287,河北,衡水野生动物园,,0,14,66,河北·衡水·武邑,"0.0,0.0",,FALSE,衡水市武邑县X905县道（武罗小学南500米）
1288,河北,天河山（中国爱情山）,4 A,3.9,65,62,河北·邢台·邢台县,"113.804379,37.093472",中国爱情山，牛郎织女传说原生地,FALSE,河北省邢台市邢台县白岸乡清泉村
1289,河北,辛玛王国主题乐园,,0,180,60,河北·石家庄·石家庄动物园,"114.31478,38.073534",让小松鼠辛玛带你游园玩乐,FALSE,河北省石家庄鹿泉市向阳南大街石家庄市动物园《辛玛王国》
1290,河北,清西陵,5 A,4.3,105,60,河北·保定·易县,"115.352505,39.355767",是一处典型的清代古建筑群,FALSE,河北省保定市易县县城西15公里处的永宁山下
1291,河北,邯郸方特国色春秋,,0,280,58,河北·邯郸,"114.400228,36.29037",乐在成语中,FALSE,邯郸市中华慈大街18号
1292,河北,清东陵,5 A,5,133,56,河北·唐山·遵化市,"117.712436,40.136521",众多清朝帝王和皇后的宏伟陵墓建筑群,FALSE,河北省唐山市遵化市西北30公里处
1293,河北,石家庄植物园,,0,20,56,河北·石家庄·新华区,"114.387244,38.115057",广大市民休闲踏青赏花的好地方,FALSE,河北省新华区植物园街60号
1294,河北,沕沕水,4 A,0,59,56,河北·石家庄·平山县,"113.770474,38.208039",春赏山花、夏看瀑布、秋观红叶、冬览冰瀑,FALSE,河北省石家庄市平山县北冶乡沕沕水生态风景区
1295,河北,北响堂山石窟,4 A,4.9,44,54,河北·邯郸·峰峰矿区,"114.167592,36.539243",研究北朝建筑难得的实物资料,FALSE,河北省邯郸市峰峰矿区鼓山
1296,河北,九龙峡自然风光旅游区,4 A,0,39.8,50,河北·邢台·邢台县,"113.882782,37.206745",被誉为“燕赵一景”，人间仙境,FALSE,河北省邢台市邢台县浆水镇营房台村
1297,河北,阿尔卡迪亚温泉,,0,69,50,河北·秦皇岛·黄金海岸,"119.317223,39.637724",观光旅游、休闲娱乐、亲子互动好去处,FALSE,河北省秦皇岛市昌黎县黄金海岸海滨高尔夫球会阿尔卡迪亚滨海度假酒店荣合心苑温泉
1298,河北,桑干河大峡谷,,0,47.5,48,河北·张家口·宣化区,"114.830442,40.272801",河北省旅游重点项目,FALSE,河北省宣化县王家湾乡
1299,河北,野三坡百里峡,5 A,4.4,100,46,河北·保定·野三坡,"115.392307,39.672927",野三坡著名景点,FALSE,河北省保定市涞水县野三坡镇苟各庄村
1300,河北,爱保野生动物世界,,0,60,44,河北·保定·新市区,"115.410573,38.830552",可以和这些可爱的动物近距离互动,FALSE,河北省保定市江城乡大汲店农业生态园东南角
1301,河北,开滦国家矿山公园,4 A,0,36,42,河北·唐山·路北区,"118.205349,39.628836",中国百年工业编年史上具有里程碑意义,FALSE,河北省唐山市路北区新华东道54号
1302,河北,东太行景区,,0,120,40,河北·邯郸·武安市,"113.911083,36.935035",集太行山雄、奇、险、峻于一体的山岳型景区,FALSE,河北省邯郸市武安市活水乡202省道北台上村东南方向
1303,河北,湶欣九号温泉度假酒店,,0,132,40,河北·张家口,"114.930887,40.756172",湶欣九号温泉度假酒店坐落于张家口市东环边，总投资约1.8亿元，总营业面积36000平米。酒店交通便利，位于机场西北2公里,FALSE,张家口市经开区东环路与站前东大街北侧交叉出口处(烟草配送中心西侧、交警五大队东侧20米)；
1304,河北,大午温泉度假村,,0,33,40,河北·保定·徐水县,"115.614572,39.080212",三千米深地下铁泉水，人尽皆知平价好温泉,FALSE,河北省保定市徐水县大午温泉度假村
1305,河北,朝阳沟,4 A,4.1,60,40,河北·邯郸·武安市,"113.816601,36.923568",山青水秀，地灵人杰，自然景观众多,FALSE,河北省邯郸武安市馆陶县列江村
1306,河北,普陀宗乘之庙,4 A,3.6,40,40,河北·承德·双桥区,"117.955153,41.013316",置身三百年皇家别苑，感受三百年福地的吉祥,FALSE,河北省承德市双桥区狮子沟北侧
1307,河北,神农现代农业示范园,,0,20,36,河北·保定·徐水县,"115.590094,38.967955",现代农业示范园区,FALSE,河北省保定市徐水区长城北大街4678号
1308,河北,天梯山,3A,3.6,26,36,河北·邢台·邢台县,"114.26138,37.111217",洞连洞，洞套洞，曲折回环，幽深莫测,FALSE,河北省邢台县西黄村镇东牛庄
1309,河北,渔岛,,0,64,36,河北·秦皇岛·黄金海岸,"119.291655,39.611474",渔岛全新升级，好莱坞G秀震撼上演,FALSE,河北省秦皇岛市昌黎县北戴河新区赤洋口片区滨海新大道D4段东侧渔岛景区
1310,河北,渔岛·菲奢尔海景温泉,,0,128,34,河北·秦皇岛·北戴河区,"119.291655,39.611474",让这个冬天不再“冷”,FALSE,河北省秦皇岛市北戴河新区黄金海岸（S364）83公里处渔岛景区内
1311,河北,太行五指山,4 A,0,49,34,河北·邯郸·涉县,"113.658153,36.529188",山势巍峨峻秀，植被郁郁葱葱,FALSE,河北省邯郸市涉县河南店镇南庄村
1312,河北,白桦林温泉谷,,0,128,30,河北·保定·涞源县,"114.683722,39.302996",华中小镇重要的温泉配套项目,FALSE,河北保定涞源县白石山镇白石山温泉度假区商户1-1
1313,河北,九州伊甸园,,0,128,30,河北·廊坊·大厂县,"117.051253,39.869997",九州伊甸园总占地面积1100余亩，是全球单体面积最 大的热带植物馆，项目重点及热点是果树品种齐全，其中热带、亚热带、温带,FALSE,河北省廊坊市大厂回族自治县陈府乡王指挥屯村
1314,河北,太行水镇,4 A,0,47,30,河北·保定·易县,"115.24968,39.293775",漫步太行水镇，感受精美景致,FALSE,河北省保定市易县安格庄乡
1315,河北,周家庄农业特色观光园,3A,0,18.8,28,河北·石家庄,"115.039261,38.028596",晋州文化的闪亮名片,FALSE,河北省石家庄市晋州市G307(歧银线)
1316,河北,普宁寺,4 A,3.7,60,26,河北·承德·双桥区,"117.958959,41.022896",宗教文化强大的感染力,FALSE,河北省承德市双桥区普宁路1号
1317,河北,黄金海岸,4 A,3.7,108,26,河北·秦皇岛·昌黎县,"119.346162,39.702563",沙丘蜿蜒起伏，沙质松软，色黄如金,FALSE,河北省秦皇岛市昌黎县黄金海岸
1318,河北,太行水镇·玉米冒险村,,0,47,26,河北·保定·易县,"115.258999,39.295385",玉米冒险村位于太行水镇大辖区，融入了距今约8000年的北福地乡村农耕元素与太行山主产粮食玉米进行充分结合形成主题体验活动,FALSE,保定市易县安格庄乡政府东南50米
1319,河北,鸡鸣山,4 A,3.6,50,24,河北·张家口·下花园区,"115.310407,40.480677",多代帝王都曾登临鸡鸣山，观赏北国风光,FALSE,河北省张家口市下花园区鸣山路南
1320,河北,石家庄动物园海洋馆,,0,40,24,河北·石家庄·石家庄动物园,"114.314072,38.073597",诠释对海的眷恋,FALSE,河北省鹿泉市获鹿镇杜家庄村西北侧
1321,河北,大午农业科技园,,0,48,24,河北·保定·徐水县,"115.621612,39.070576",大午农业科技园是大午集团开发的一家集生态农业、多模式无土栽培试验示范、旅游观光、休闲采摘、餐饮娛乐、亲子体验于一体的综合,FALSE,河北省保定市徐水区高林村镇郎五庄村
1322,河北,皮影主题乐园,,0,88,24,河北·唐山·路南区,"118.167597,39.594566",唐山皮影主题乐园占地500亩，坐落于风景秀丽的“唐山城市会客厅”南湖生态旅游风景区，这里不仅再现了中国非物质文化遗产--,FALSE,唐山市路南区南湖大道南侧风井公交枢纽站西行200米
1323,河北,腰山王氏庄园,3A,3.5,25,22,河北·保定·顺平县,"115.200273,38.902945",王锡衮故居,FALSE,河北省保定市顺平县腰山镇南腰山村
1324,河北,华峪山庄,3A,0,22,22,河北·保定·唐县,"114.836025,38.819512",有千亩石榴采摘园,FALSE,河北省保定市唐县大洋乡大长峪村
1325,河北,中信国安第一城,4 A,5,1,20,河北·廊坊·香河县,"116.913678,39.721352",传统文化氛围，造属于老百姓的嘉年华,FALSE,河北省廊坊市香河县安平镇
1326,河北,梦东方?未来世界,,0,140,20,河北·廊坊·开发区,"116.833088,39.922965",一个圆梦的航天之旅，玩转宇宙，悦动地球,FALSE,河北省三河市燕郊经济开发区迎宾南路梦东方﹒未来世界（靠近天洋城4代）
1327,河北,新澳帆船出海俱乐部,,0,99,20,河北·秦皇岛·海港区,"119.572537,39.912798",新澳帆船快艇俱乐部是一家集快艇，游船，特技，体验，教学与一体的俱乐部，紧邻新澳海豚表演馆，拥有三十多艘快艇及帆船，十几位,FALSE,秦皇岛市海港区河滨路81号新澳海底世界东侧沙滩处
1328,河南,龙门石窟,5 A,5,90,4673,河南·洛阳·洛龙区,"112.479566,34.564212",世界文化遗产 中国石刻艺术宝库,FALSE,河南省洛阳市洛龙区龙门中街13号
1329,河南,老君山景区,5 A,3.6,85,4005,河南·洛阳·栾川县,"111.653834,33.762504",山势雄伟，美不胜收,FALSE,河南省洛阳市栾川县城东
1330,河南,中国国花园,,3.8,10,2250,河南·洛阳·老城区,"112.454952,34.654965",位于市区交通便利，享有国花第一园美誉！,FALSE,河南省洛阳市洛龙区
1331,河南,龙亭公园,4 A,4.3,31,1860,河南·开封·龙亭区,"114.359797,34.814381",开封揽胜必游龙亭，中外游客向往之地,FALSE,河南省开封市龙亭区宋都御街北街
1332,河南,清明上河园,5 A,5,120,1564,河南·开封·龙亭区,"114.346802,34.814867",穿越宋朝，亲身体验清明上河图,FALSE,河南省开封市龙亭区龙亭西路5号
1333,河南,少林寺,5 A,4.3,80,1456,河南·郑州·嵩山,"112.948713,34.512389",登顶中岳嵩山，一览天下胜景，领略禅宗教法,FALSE,河南省郑州登封市西北13公里嵩山南麓
1334,河南,银基动物王国,,0,200,1444,河南·郑州·新密市,"0.0,0.0",银基动物王国是由银基国际旅游度假区斥巨资打造的、具备国际水准的动物主题乐园。动物王国位于河南省省会郑州市文化新区新密市，,FALSE,郑州新密市刘寨镇银基国际旅游度假区内
1335,河南,隋唐洛阳城明堂天堂景区,,0,88.4,1038,河南·洛阳·老城区,"112.464474,34.686965",展现无以伦比的富丽堂皇,FALSE,河南省洛阳市老城区中州中路与定鼎路交叉口处
1336,河南,开封府,4 A,4.8,58,986,河南·开封·鼓楼区,"114.353429,34.796032",开封有个包青天，铁面无私辨忠奸,FALSE,河南省开封市包公东湖北岸
1337,河南,国家牡丹园,,3.6,27,716,河南·洛阳·西工区,"112.405246,34.713601",是中国牡丹栽培繁衍的主要故地之一,FALSE,河南省洛阳市西工区洛阳市机场路与310国道交汇口西2000米
1338,河南,河南博物院,,4.4,20,706,河南·郑州·金水区,"113.678741,34.792982",我国建立较早的博物院之一,FALSE,河南省郑州市金水区农业路8号
1339,河南,大相国寺,4 A,4.6,34.9,696,河南·开封·龙亭区,"114.360997,34.79778",我国古代著名的佛教中心之一,FALSE,河南省开封市龙亭区自由西段36号
1340,河南,建业?华谊兄弟电影小镇,,0,50,654,河南·郑州·中牟县,"114.005192,34.781577",建业?华谊兄弟电影小镇，坐落于郑州国际文化创意产业园，地处郑汴洛黄金旅游带中心位置，辐射中原城市群核心高地。电影小镇甄选,FALSE,河南省郑州市郑开大道建业·华谊兄弟电影小镇
1341,河南,隋唐城遗址植物园,,0,10,630,河南·洛阳·洛龙区,"112.453609,34.642185",坚持科学保护与合理利用相结合,FALSE,河南省洛阳市洛龙区王城大桥南
1342,河南,宋都御街,,4.3,31,600,河南·开封·龙亭区,"114.351415,34.799808",宋都御街位于开封市中山路北段，是为再现宋代御街风貌，于1988年建成的一条仿宋商业街。北宋时期，东京御街北起皇宫宣德门，,FALSE,河南开封市
1343,河南,郑州方特欢乐世界,4 A,0,278,532,河南·郑州·中牟县,"113.935591,34.766816",高科技主题乐园，方特成就欢乐梦想,FALSE,河南省郑州市中牟县郑开大道与人文路交汇口以南
1344,河南,银基冰雪世界,,0,125,456,河南·郑州·新密市,"113.561087,34.486188",银基冰雪世界 全新升级 强势回归,FALSE,河南省郑州市新密市刘寨镇银基国际旅游度假区
1345,河南,周口野生动物世界,,0,130,440,河南·周口·川汇区,"114.639221,33.687092","周口野生动物世界是周口市大型文化旅游项目，项目总占地2200亩，总投资22.4亿元，共分两期进行建设。
整个项目集动物观",FALSE,周口市川汇区城北中州路北段
1346,河南,宝泉,4 A,0,100,408,河南·新乡·辉县市,"113.438532,35.482666",峡谷万丈，森林繁茂，瀑布景观让人叹为观止,FALSE,河南省新乡市辉县薄壁镇
1347,河南,包公祠,4 A,4.6,26.6,406,河南·开封·鼓楼区,"114.345583,34.799117",开封有个包青天，铁面无私辨忠奸,FALSE,河南省开封市鼓楼区向阳路1号
1348,河南,隋唐洛阳城应天门遗址,,0,26,382,河南·洛阳·老城区,"112.467302,34.682327",隋唐洛阳城是隋唐两代东都城，始建于隋炀帝大业元年（公元605年）。东都城是由郭城、皇城、宫城等组成，宫城和皇城建于地势比,FALSE,洛阳市老城区定鼎南路23号
1349,河南,大宋东京梦华,,4,249,346,河南·开封·清明上河园,"114.348433,34.816211",生动地再现北宋京都汴梁的盛世繁荣,FALSE,河南省开封市龙亭区龙亭西路5号
1350,河南,郑州绿博园,4 A,0,18,336,河南·郑州·中牟县,"113.935892,34.765578","百花闹春,静待客来",FALSE,河南省郑州市中牟县郑开大道与人文路交汇向南1000米
1351,河南,国际牡丹园,,0,38,332,河南·洛阳,"112.425309,34.730568",高品位牡丹观赏园，国际牡丹名品生产基地,FALSE,河南省洛阳市王城大道北端机场西路1号
1352,河南,洛阳白马寺,4 A,4.4,99,320,河南·洛阳·洛龙区,"112.609473,34.726745",一座历史悠久的古刹,FALSE,河南省洛阳市洛龙区白马寺镇310国道
1353,河南,陕州地坑院,,0,48,270,河南·三门峡·陕州区,"111.145534,34.697394",祖祖辈辈黄土人割舍不尽流淌着的血脉,FALSE,河南省三门峡市陕州地坑院民俗文化园附近（东方向154米左右）
1354,河南,红旗渠,5 A,5,76,266,河南·安阳·林州市,"113.824362,36.237878",渠水奔腾，飞瀑喷雪，好似银河倾泻,FALSE,河南省安阳市林州市任村镇太行路225号
1355,河南,朱仙镇启封故园景区,,0,48,262,河南·开封,"114.28387,34.632583",生态筑城，文化延梦，外在古典，内在时尚,FALSE,河南省开封市祥符区运粮河西岸朱仙镇启封故园
1356,河南,郑州园博园,,0,34,258,河南·郑州,"113.8755,34.465428",风景园林与花卉盆景行业盛会,FALSE,河南省郑州市航空港实验区
1357,河南,殷墟,5 A,4.7,64,256,河南·安阳·安阳县,"114.315893,36.148167",商朝晚期都城遗址，甲骨文发掘地,FALSE,河南省安阳市西北郊小屯村
1358,河南,八里沟,5 A,4.2,55,248,河南·新乡·辉县市,"113.538498,35.592382",荟萃太行山水精华,FALSE,河南省新乡辉县市上八里镇松树坪村
1359,河南,郑州海洋馆,3A,0,130,234,河南·郑州·金水区,"113.664204,34.825894",新一代大型现代化水族馆,FALSE,河南省郑州市金水区文化路与国基路交口向西100米
1360,河南,南湾湖,4 A,4.4,52,226,河南·信阳·浉河区,"114.011529,32.131712",是国家森林公园、国家水利风景区,FALSE,河南省信阳市南湖大街188号
1361,河南,黄帝千古情,,0,166,214,河南·郑州,"113.652717,34.605103",黄帝千古情景区是郑州全新推出的大型演艺公园。演出《黄帝千古情》是一生必看的演出，从轩辕黄帝穿越到今天的郑州，用高科技的声,FALSE,郑州市大学南路566号
1362,河南,云台山,5 A,5,120,214,河南·焦作·修武县,"113.433752,35.426392",山水圣地，地质奇观，门票3天有效,FALSE,河南省焦作市修武县修武正北30公里方庄（靠近233省道）
1363,河南,康百万庄园,4 A,3.6,45,192,河南·郑州·巩义市,"112.957185,34.76884",黄土高原封建堡垒式建筑的代表,FALSE,河南省巩义市康店镇庄园路59号
1364,河南,禅宗少林音乐大典,,0,279,178,河南·郑州·登封市,"112.98366,34.484394",领略博大精深的中国文化,FALSE,河南省郑州登封市待仙沟
1365,河南,嵩山,5 A,4.9,45,174,河南·郑州·登封市,"113.01488,34.523706",群山耸立，看功夫少林，品儒家文化,FALSE,河南省郑州登封市中岳大街146号
1366,河南,关林庙,4 A,4,40,150,河南·洛阳·洛龙区,"112.490039,34.613008",“林、庙、”合祀的古代经典建筑,FALSE,河南省洛阳市洛龙区关林南路2号
1367,河南,周王城天子驾六博物馆,3A,3.7,25,150,河南·洛阳·西工区,"112.449771,34.680019",惊世巨现，天子驾六；东周瑰宝，举世无双,FALSE,河南省洛阳市西工区中州中路226号
1368,河南,九洲池景区,,0,49,150,河南·洛阳·西工区,"112.459018,34.687829",九洲池是紫微城(隋唐洛阳皇宫)内重要的皇家池苑，荟萃了唐宋园林建筑艺术的精华，是中国古代皇家园林的杰出典范。 [1] 始,FALSE,洛阳市西工区唐宫路九洲池景区南门
1369,河南,郑州黄河文化公园,4 A,4.1,45,142,河南·郑州·惠济区,"113.523323,34.95988",黄河之水天上来，奔流到海不复回,FALSE,河南省郑州市江山路黄河南1号
1370,河南,洛阳龙门海洋馆,,0,62.5,132,河南·洛阳·洛龙区,"112.481606,34.597254",八个主题展区，多个经典演出节目,FALSE,河南省洛阳市龙门大道782号
1371,河南,鸡公山,4 A,5,56,132,河南·信阳·浉河区,"114.091084,31.809559",中国四大避暑圣地之一,FALSE,河南省信阳市浉河区鸡公山国家级风景名胜区
1372,河南,铁塔公园,4 A,4.1,26.5,130,河南·开封·鼓楼区,"114.376267,34.822768",天下名塔，历经战火、水患、地震等灾害,FALSE,河南省开封市北门大街210号
1373,河南,丰乐樱花园,,0,45,126,河南·郑州·荥阳市,"113.273045,34.892275",四季花海----赏樱花的好去处,FALSE,河南省郑州荥阳连霍高速上街虎牢关下沿石化路向北2500米
1374,河南,爱思嘉农业嘉年华,,0,39,116,河南·开封·开封县,"114.224499,34.635234",开封爱思嘉农业嘉年华，位于开封市祥符区西姜寨乡，紧邻全国四大古镇之一的朱仙镇，占地面积360亩，是开封市乡村振兴1+6示,FALSE,开封市祥符区西姜寨乡半中路与开港大道交叉口向东200米
1375,河南,七峰山生态旅游区,4 A,0,49.9,114,河南·南阳·方城县,"112.9547,33.412215",生态旅游，避暑休闲的理想去处,FALSE,河南南阳方城县杨集乡大河口村
1376,河南,天波杨府,,4.5,35.8,114,河南·开封·龙亭区,"114.353764,34.816973",天波杨府布局精巧，极具江南园林风格,FALSE,河南省开封市龙亭北路14号
1377,河南,中原福塔,4 A,0,97.5,112,河南·郑州·管城回族区,"113.735581,34.72968",一塔刺云端，抬头可摸天,FALSE,河南省郑州市管城回族区航海东路1206号
1378,河南,鸡冠洞,5 A,3.6,75,110,河南·洛阳·栾川县,"111.578088,33.790371",景色瑰丽，深不可测,FALSE,河南省洛阳市栾川县栾川县城西三公里处
1379,河南,万岁山?大宋武侠城,4 A,0,54.5,102,河南·开封·龙亭区,"114.35276,34.825924",武侠主题景区，让您过足江湖瘾,FALSE,河南省开封市龙亭区东京大道中段
1380,河南,嵩阳书院,4 A,3.9,30,100,河南·郑州·嵩阳景区,"113.040152,34.485943",宋代四大书院之一,FALSE,河南省郑州登封市中岳大街146号嵩山风景区内
1381,河南,嵖岈山,5 A,3.5,65,96,河南·驻马店·遂平县,"113.744014,33.13333",央视版《西游记》的主取景地,FALSE,河南省驻马店遂平县嵖岈山风景名胜区
1382,河南,太行大峡谷,4 A,4.7,135,94,河南·安阳·林州市,"113.755846,36.183597",带你感受峡谷纵横的壮观,FALSE,河南省安阳林州市石板岩乡
1383,河南,五彩大地观光休闲旅游区,,0,34.9,92,河南·许昌·鄢陵县,"114.184009,34.110029",秀丽景色尽收眼底,FALSE,河南省许昌市鄢陵县花海大道与花溪大道交汇处向西200米路北，黄龙店村西部
1384,河南,开封大宋御河,4 A,0,28,88,河南·开封·鼓楼区,"114.347289,34.807653",泛舟大宋御河，体验水韵宋城,FALSE,河南省开封市鼓楼区向阳路包公祠御河码头
1385,河南,龙潭大峡谷,5 A,3.5,71.9,86,河南·洛阳·新安县,"112.022289,34.980692",山崩地裂的旷世奇观，探幽览胜的绝妙意境,FALSE,河南省洛阳市新安县石井镇龙潭沟村
1386,河南,尧山,5 A,5,35,84,河南·平顶山·鲁山县,"112.307895,33.7352",游尧山，拜大佛，浴温泉,FALSE,河南省平顶山市鲁山县尧山镇西竹园村
1387,河南,神农山,5 A,3.6,27.8,84,河南·焦作·沁阳市,"112.82462,35.213855",炎帝辨五谷、尝百草、设坛祭天之地,FALSE,河南省沁阳市西北23公里处的太行山南麓
1388,河南,曹丞相府,3A,4.3,40,80,河南·许昌·魏都区,"113.83404,34.036566",全方位展示曹魏文化的主题公园,FALSE,河南省许昌市魏都区衙前街
1389,河南,古柏渡飞黄风景区,4 A,0,45,80,河南·郑州·荥阳市,"113.283446,34.88561",既有西北风光之雄奇，又有江南景色的秀美,FALSE,河南省郑州市荥阳市王村镇
1390,河南,神州鸟园,,0,16,78,河南·漯河·源汇区,"114.026124,33.557003",大型鸟主题公园,FALSE,河南省漯河市源汇区金江路与泰山路交叉口向西50米路南（原开源森林公园）
1391,河南,潞王陵,3A,3.6,25,74,河南·新乡·凤泉区,"113.932565,35.421217",潞王陵，它座落于新乡市凤泉区的凤凰山下，近四百年来，它以其独特旅游风光，雄伟的古代建筑，精美的石刻艺术，神奇的民间传说，,FALSE,河南省新乡市凤泉区潞王坟乡坟上村
1392,河南,郑州动物园,,3.9,40,74,河南·郑州·金水区,"113.691205,34.794729",在中原也能观赏到一些珍稀动物,FALSE,河南省郑州市金水区花园路103号
1393,河南,锦艺城海洋馆,,0,85,74,河南·郑州,"113.613014,34.76872",孩子们喜欢的海洋馆,FALSE,河南省郑州市中原区锦艺城C区负一楼
1394,河南,松鼠部落森林假日公园,,0,58,72,河南·郑州·荥阳市,"113.482784,34.670541",郑州松鼠部落森林假日公园是由上海悉乐打造的全国连锁儿童户外乐园品牌。乐园以欧美高品质中央假日公园为蓝本，打造集生态、娱乐,FALSE,郑州市荥阳市文泽路郑州松鼠部落
1395,河南,老乐山,,0,47.8,72,河南·驻马店·确山县,"114.032867,32.807897",老乐山，欢乐之山,FALSE,河南省驻马店市确山县
1396,河南,大鸿寨,4 A,3.8,45,72,河南·许昌·禹州市,"113.09725,34.243901",万壑纵横，群山围拱，峰峦叠翠，气象万千,FALSE,河南省禹州市鸠山镇后地村
1397,河南,三皇寨,,3.8,1.4,68,河南·郑州·登封市,"112.934053,34.470438",以山岳自然风光为主的景区,FALSE,河南省登封市
1398,河南,函谷关,4 A,5,70,64,河南·三门峡·灵宝市,"110.932861,34.640351",道家之源,FALSE,河南省三门峡市灵宝市函谷关古文化旅游区
1399,河南,栾川竹海野生动物园（原伏牛山东北虎园）,,0,249,62,河南·洛阳·伏牛山,"111.732445,33.934923",各种各样的老虎，让爱虎的你舍不得离开,FALSE,河南省洛阳市栾川县仓房村
1400,河南,少林寺演武厅,,0,135,60,河南·郑州·登封市,"112.954693,34.516661",少林寺功夫表演场地,FALSE,河南郑州登封市登封嵩山五乳峰下少林寺
1401,河南,王屋山,4 A,5,43.5,58,河南·济源,"112.284305,35.152993",山峰突起，独具“王者风范”,FALSE,河南省济源市王屋镇
1402,河南,伏曦太昊陵,4 A,3.5,40,56,河南·周口·淮阳县,"114.893598,33.753932",古柏夹道、碑刻林立、晨钟墓鼓、声闻数里,FALSE,河南周口市淮阳县羲皇故都风景名胜区
1403,浙江,普陀山风景区,5 A,5,160,3868,浙江·舟山·普陀区,"122.38611,29.98092",人间清净地 | 朝圣看日出,FALSE,浙江省舟山市普陀区
1404,浙江,乌镇一日游,,0,138,3345,浙江·嘉兴·乌镇,"120.494465,30.754749",鱼米之乡，丝绸之府,FALSE,浙江省嘉兴市桐乡市乌镇石佛南路18号
1405,浙江,乌镇,5 A,5,110,2978,浙江·嘉兴·桐乡市,"120.494465,30.754749",鱼米之乡，丝绸之府,FALSE,浙江省嘉兴市桐乡市乌镇石佛南路18号
1406,浙江,杭州宋城,,0,148,2717,浙江·杭州,"120.105205,30.175961",杭州宋城是中国大陆人气超旺的主题公园,FALSE,浙江省杭州市西湖区之江路148号
1407,浙江,西溪国家湿地公园,5 A,0,57.2,2678,浙江·杭州·西湖区,"120.074003,30.274637",游《非诚勿扰》拍摄地，感受湿地水乡浪漫,FALSE,浙江省杭州市西湖区天目山路518号
